STUDY SYSTEM,,,,,,,,,,,,,,ENVIRONMENTAL CHANGE CATEGORIES,,,,,CONFLICT OUTCOMES,,,,,HUMAN PATHWAYS,,,,,WILDLIFE PATHWAYS,,,,
Source,Title,Year,Lat,Lon,Country,Continent,System,Focal Species or Taxon,Focal Order,Focal Family,Taxonomy,"Essential Climate Variable
(Primary)",Type of Climate Change,Resource Abundance,Resource Distribution,Resource Phenology,Community Composition/Other,NA/none Identified,Wildlife Injury / Mortality,Human Injury / Mortality,Property Damage / Nuisance,Revenue Loss,Loss of Food Production,Spatial  - Human,Temporal - Human,Behavioral - Human,Demographic - Human,None identified - Human,Spatial ,Temporal ,Behavioral,Demographic,"None identified
(Wildlife)"
Lee et al. 2004,"Kangaroo-vehicle collisions in Australia's sheep rangelands, during and following drought periods",2004,-31.08333333,141.7166667,AU,Australia,Terrestrial,red kangaroos (Macropus rufus) and common wallaroos (Macropus robustus erubescens),Diprotodontia,Macropodidae,Mammal,precipitation,acute event,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Khorozyan et al. 2015,Big cats kill more livestock when wild prey reaches a minimum threshold,2015,37.39431655,55.80459851,IR,Asia,Terrestrial,leopards,Carnivora,Felidae,Mammal,temperature,interannual variation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Acosta-Jamett et al. 2016,El Nino Southern Oscillation drives conflict between wild carnivores and livestock farmers in a semiarid area in Chile,2016,-30.65444322,-71.68560901,CL,South America,Terrestrial,"foxes (mainly culpeo, also chilla)",Carnivora,Canidae,Mammal,precipitation,interannual variation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Aryal et al. 2014 Theo. Appl. Clim.,Impact of climate change on human-wildlife-ecosystem interactions in the Trans-Himalaya region of Nepal,2014,29.07417143,83.91751032,NP,Asia,Terrestrial,blue sheep,Artiodactyla,Bovidae,Mammal,temperature,long-term change,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Aryal et al. 2014 Theo. Appl. Clim.,Impact of climate change on human-wildlife-ecosystem interactions in the Trans-Himalaya region of Nepal,2014,29.19567266,83.86510857,NP,Asia,Terrestrial,snow leopard,Carnivora,Felidae,Mammal,temperature,long-term change,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Bal et al. 2011,"Elephants Also Like Coffee: Trends and Drivers of Human–Elephant Conflicts in Coffee Agroforestry Landscapes of Kodagu, Western Ghats, India",2011,12.31136724,75.79043352,IN,Asia,Terrestrial,Asian elephants,Proboscidea,Elephantidae,Mammal,precipitation,interannual variation,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Bhatt et al. 2018,Biodiversity and climate change: an Indian persepective,2018,22.48399814,79.27456901,IN,Asia,Terrestrial,elephant,Proboscidea,Elephantidae,Mammal,precipitation,acute event,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Branco et al. 2019,Determinants of elephant foraging behaviour in a coupled human-natural system: Is brown the new green?,2019,-18.84406376,34.50332003,MZ,Africa,Terrestrial,elephants,Proboscidea,Elephantidae,Mammal,precipitation,interannual variation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Carpenter 2021,Exploring the impact of climate change on the future of community-based wildlife conservation,2021,-22.54187679,17.06230001,NA,Africa,Terrestrial,multiple,Mixed Groups,Mixed Groups,Mammal,precipitation,acute event,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Chapman & McPhee 2016,Global shark attack hotspots: Identifying underlying factors behind increased unprovoked shark bite incidence,2016,-34.14102757,24.12358184,ZA,Africa,Marine,white  sharks,Lamniformes,Lamnidae,Fish,temperature,acute event,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Chapman & McPhee 2016,Global shark attack hotspots: Identifying underlying factors behind increased unprovoked shark bite incidence,2016,-37.36026738,150.0802395,AU,Australia,Marine,white sharks,Lamniformes,Lamnidae,Fish,temperature,acute event,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Dawe & Boutin 2016,Climate change is the primary driver of white-tailed deer (Odocoileus virginianus) range expansion at the northern extent of its range; land use is secondary,2016,58.16180631,-114.9884385,CA,North America,Terrestrial,white-tailed deer,Artiodactyla,Cervidae,Mammal,snow/land ice,long-term change,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Douglas-Hamilton & Wall 2009,Drought threatens Mali elephants,2009,13.08389069,-7.091243098,ML,Africa,Terrestrial,elephant,Proboscidea,Elephantidae,Mammal,precipitation,acute event,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Feist et al. 2021,Footprints of fixed‐gear fisheries in relation to rising whale entanglements on the U.S,2021,39.79408559,-123.9663873,US,North America,Marine,humpback whales,Artiodactyla,Balaenopteridae,Mammal,temperature,acute event,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Heemskerk et al. 2020,"Temporal dynamics of human-polar bear conflicts in Churchill, Manitoba",2020,58.68815085,-93.94766518,CA,North America,Terrestrial,polar bears,Carnivora,Ursidae,Mammal,sea ice,long-term change,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Honda 2020,Mechanisms of human-black bear conflicts in Japan: In preparation for climate change,2020,38.1024949,140.3833674,JP,Asia,Terrestrial,black bears,Carnivora,Ursidae,Mammal,temperature,interannual variation,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Hovelsrud 2008,Marine mammal harvests and other interactions with humans,2008,78.43067007,-84.57815803,Multiple,North America,Marine,marine mammals,Mixed Groups,Mixed Groups,Mammal,temperature,long-term change,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Inskip et al. 2013,Human-Tiger Conflict in Context: Risks to Lives and Livelihoods in the Bangladesh Sundarbans,2013,22.55545693,89.77241859,BD,Asia,Terrestrial,tigers,Carnivora,Felidae,Mammal,precipitation,acute event,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Ivanova et al. 2020,"Shipping alters the movement and behavior of Arctic cod (Boreogadus saida), a keystone fish in Arctic marine ecosystems",2020,74.38227512,-94.84325823,CA,North America,Marine,Arctic cod,Gadiformes,Gadidae,Fish,sea ice,long-term change,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Kanga et al. 2012,Human–hippo conflicts in Kenya during 1997–2008: vulnerability of a megaherbivore to anthropogenic land use changes,2012,0.02672114,36.09849462,KE,Africa,Freshwater,hippos,Artiodactyla,Hippopotamidae,Mammal,precipitation,interannual variation,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Kiria 2018,"A spatial multi-criteria analysis of land use, land cover and climate changes on wildlife ecosystems planning and management in Meru conservation area",2018,0.101972673,38.20402944,KE,Africa,Terrestrial,"elephants, multiple",Mixed Groups,Mixed Groups,Mammal,precipitation,long-term change,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,
LaForge et al. 2016,Habitat selection by female moose in the Canadian prairie ecozone,2016,51.16553398,-105.9084045,CA,North America,Terrestrial,moose,Artiodactyla,Cervidae,Mammal,temperature,long-term change,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Laufenberg et al. 2018,Compounding effects of human development and a natural food shortage on a black bear population along a human development-wildland interface,2018,37.27493859,-107.8757528,US,North America,Terrestrial,black bears,Carnivora,Ursidae,Mammal,temperature,acute event,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Mariki et al. 2015,Elephants over the Cliff: Explaining Wildlife Killings in Tanzania,2015,-3.04114491,37.05142017,TZ,Africa,Terrestrial,elephant,Proboscidea,Elephantidae,Mammal,precipitation,acute event,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Masiaine et al. 2021,Landscape-level changes to large mammal space use in response to a pastoralist incursion,2021,0.616414467,36.82739593,KE,Africa,Terrestrial,herbivores,Mixed Groups,Mixed Groups,Mammal,precipitation,acute event,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Mason et al. 2018,The changing environment of conservation conflict: Geese and farming in Scotland,2018,55.74003957,-6.161659647,UK,Europe,Terrestrial,barnacle geese,Anseriformes,Anatidae,Bird,temperature,long-term change,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Mbau 2013,An analysis of human-wildlife conflicts in tsavo west - amboseli agro-ecosystem using an integrated geospatial approach: a case study of taveta district.,2013,-3.344646665,38.31867397,KE,Africa,Terrestrial,"multiple (elephants, primates, carnivores, hippopotamus)",Mixed Groups,Mixed Groups,Mammal,precipitation,long-term change,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Mukeka et al. 2019,"Human-wildlife conflicts and their correlates in Narok County, Kenya",2019,-1.099123,35.400867,KE,Africa,Terrestrial,"multiple species (herbivores, carnivores, even primates)",Mixed Groups,Mixed Groups,Mammal,precipitation,acute event,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Mukeka et al. 2020,Spatial and temporal dynamics of human-wildlife conflicts in the Kenya Greater Tsavo Ecosystem,2020,-3.381544767,37.69936905,KE,Africa,Terrestrial,elephants,Proboscidea,Elephantidae,Mammal,precipitation,acute event,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Mukeka et al. 2020,Spatial and temporal dynamics of human-wildlife conflicts in the Kenya Greater Tsavo Ecosystem,2020,-3.49369029,38.07131369,KE,Africa,Terrestrial,elephants,Proboscidea,Elephantidae,Mammal,precipitation,long-term change,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Munyao et al. 2020,"Assessment of human-elephant conflicts in multifunctional landscapes of Taita Taveta County, Kenya",2020,-3.477868255,38.32075286,KE,Africa,Terrestrial,elephants,Proboscidea,Elephantidae,Mammal,precipitation,interannual variation,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Nyhus et al. 2004,"Agroforestry, elephants, and tigers: balancing conservation theory and practice in human-dominated landscapes of Southeast Asia",2004,-4.868707787,105.7846965,ID,Asia,Terrestrial,"elephants, tiger",Mixed Groups,Mixed Groups,Mammal,fire,acute event,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Olson et al. 2015,How does variation in winter weather affect deer-vehicle collision rates?,2015,39.93606279,-111.1331511,US,North America,Terrestrial,deer,Artiodactyla,Cervidae,Mammal,snow/land ice,interannual variation,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Packer et al 2005,Lion attacks on humans in Tanzania,2005,-6.768178587,34.90118051,TZ,Africa,Terrestrial,lion,Carnivora,Felidae,Mammal,precipitation,acute event,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Packer et al. 2006 ,The Ecology of Man-Eating Lions in Tanzania,2006,-6.678328375,34.94089448,TZ,Africa,Terrestrial,lions,Carnivora,Felidae,Mammal,precipitation,acute event,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Perez-Flores et al. 2021,"Human-wildlife conflicts and drought in the greater Calakmul Region, Mexico: implications for tapir conservation",2021,18.70231707,-89.50642299,MX,North America,Terrestrial,Baird's tapir,Perissodactyla,Tapiridae,Mammal,precipitation,acute event,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Popp et al. 2018,Elk (Cervus elaphus) railway mortality in Ontario,2018,46.23313783,-80.85017988,CA,North America,Terrestrial,elk,Artiodactyla,Cervidae,Mammal,snow/land ice,interannual variation,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Rabaiotti et al. 2021,High temperatures and human pressures interact to influence mortality in an African carnivore,2021,-16.01307773,29.76282227,KE,Africa,Terrestrial,African wild dogs,Carnivora,Canidae,Mammal,temperature,long-term change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Saberwal et al 1994,"Lion human conflict in the Gir Forest, India",1994,21.082394,70.776953,IN,Asia,Terrestrial,Lions,Carnivora,Felidae,Mammal,precipitation,acute event,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Samhouri et al. 2021,Marine heatwave challenges solutions to human-wildlife conflict,2021,37.20880137,-122.6186657,US,North America,Marine,humpback and blue whales,Artiodactyla,Balaenopteridae,Mammal,temperature,acute event,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Santora et al. 2020,Habitat compression and ecosystem shifts as potential links between marine heatwave and record whale entanglements,2020,37.76428503,-123.5868032,US,North America,Marine,humpback whales,Artiodactyla,Balaenopteridae,Mammal,temperature,acute event,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Schiess-Meier et al. 2007,Livestock Predation—Insights From Problem Animal Control Registers in Botswana,2007,-23.85696395,24.56278107,BW,Africa,Terrestrial,Lion,Carnivora,Felidae,Mammal,precipitation,acute event,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Seetah et al. 2020,Archaeology and contemporary emerging zoonosis: A framework for predicting future Rift Valley fever virus outbreaks,2020,0.351483679,35.63027983,KE,Africa,Terrestrial,mosquitos,Diptera,Culicidae,Invertebrate,precipitation,acute event,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Terekhina et al. 2021,The context of an emerging predation problem: Nenets reindeer herders and Arctic foxes in Yamal,2021,69.49130661,70.36790083,RU,Asia,Terrestrial,Arctic fox,Carnivora,Canidae,Mammal,snow/land ice,acute event,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Towns et al. 2009,"Spatial and temporal patterns of problem polar bears in Churchill, Manitoba",2009,58.72206904,-94.12905412,CA,North America,Marine,polar bears,Carnivora,Ursidae,Mammal,sea ice,long-term change,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Vargas et al. 2020,Climate change contributing to conflicts between livestock farming and guanaco conservation in central Chile: a subjective theories approach,2020,-32.29876703,-70.48591686,CL,South America,Terrestrial,guanacos,Artiodactyla,Camelidae,Mammal,precipitation,long-term change,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Whitaker et al.1999,Responses of free-ranging brownsnakes (Pseudonaja textilis : Elapidae) to encounters with humans,1999,-34.31946258,146.0671768,AU,Australia,Terrestrial,brownsnake,Squamata,Elapidae,Reptile,precipitation,interannual variation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Wilder et al 2017,Polar bear attacks on humans: Implications of a changing climate,2017,74.17208368,-121.8828867,Multiple,North America,Terrestrial,Polar bears,Carnivora,Ursidae,Mammal,sea ice,long-term change,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Zack et al. 2003,Southern Oscillation Index as an Indicator of Encounters between Humans and Black Bears in New Mexicao,2003,35.20728352,-106.4191896,US,North America,Terrestrial,black bears,Carnivora,Ursidae,Mammal,precipitation,interannual variation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE